Sample,File
GSM7009544.Rloop.CTR_1_1,SRR23268248_1.fastq
GSM7009544.Rloop.CTR_1_2,SRR23268248_2.fastq
GSM7009545.Rloop.CTR_2_1,SRR23268247_1.fastq
GSM7009545.Rloop.CTR_2_2,SRR23268247_2.fastq
GSM7009527.CUTTag.IgG.CTR_1_1,SRR23268257_1.fastq
GSM7009527.CUTTag.IgG.CTR_1_2,SRR23268257_2.fastq
GSM7009528.CUTTag.IgG.CTR_2_1,SRR23268256_1.fastq
GSM7009528.CUTTag.IgG.CTR_2_2,SRR23268256_2.fastq
GSM7009536.CUTTag.rH2AX.CTR_1_1,SRR23268232_1.fastq
GSM7009536.CUTTag.rH2AX.CTR_1_2,SRR23268232_2.fastq
GSM7009537.CUTTag.rH2AX.CTR_2_1,SRR23268231_1.fastq
GSM7009537.CUTTag.rH2AX.CTR_2_2,SRR23268231_2.fastq
GSM7009550.CUTTag.Rloop.DMSO.RNaseH1_1_1,SRR23268226_1.fastq
GSM7009550.CUTTag.Rloop.DMSO.RNaseH1_1_2,SRR23268226_2.fastq
GSM7009551.CUTTag.Rloop.DMSO.RNaseH1_2_1,SRR23268225_1.fastq
GSM7009551.CUTTag.Rloop.DMSO.RNaseH1_2_2,SRR23268225_2.fastq
